x1,x2,y
-0.10600562,-0.081467034,-1
0.17792951,-0.34595141,-1
0.10216153,0.71825825,1
0.69407831,0.62339743,-1
0.023541068,0.72743221,1
-0.31972776,-0.83411411,-1
-0.18674372,0.53887798,1
-0.63696719,0.15268485,1
-0.4744626,0.85434436,1
-0.035627652,-0.27158819,-1
-0.14860269,0.16176177,-1
-0.18065154,-0.12873906,-1
-0.60241113,0.92550746,1
0.69808093,0.7947417,-1
0.88150888,-0.20124822,1
-0.92384936,0.38662506,1
-0.76571338,-0.011281293,1
0.13559198,0.031705057,-1
-0.15515148,-0.33141997,-1
0.48517476,0.29903104,-1
-0.6029001,0.3332342,1
-0.57285816,0.82835226,1
-0.63539998,-0.47456571,-1
0.90931654,-0.78488922,1
0.25210516,-0.89393713,1
-0.51763422,0.96044364,1
-0.38587212,-0.31786995,-1
0.82316659,-0.12779654,1
0.82248638,-0.87684295,1
-0.50366208,0.98027386,1
0.53387369,0.82123374,-1
-0.89497008,-0.24011485,1
0.34287096,0.47497683,-1
0.70928861,0.56220681,-1
-1.0004317,0.060457567,1
0.52428439,0.73519522,-1
-0.5603304,0.75583819,1
0.69752202,-0.67198955,1
0.49042314,0.78508662,-1
-0.32677396,0.34337193,1
-0.002934209,-0.41518173,-1
-0.63123891,0.35263395,1
0.91388134,0.5930532,-1
0.2182828,0.039683537,-1
-0.61618517,-0.88657924,-1
-0.52852914,0.02869021,1
-0.40652261,1.045148,1
-0.22979506,0.071425065,-1
-0.50212113,0.83373782,1
-0.50808021,0.79326965,1
-0.79067809,0.18780315,1
-0.38251119,0.82474204,1
0.82232787,0.4014869,-1
0.98596447,-0.32916872,1
-0.014046951,-0.15238711,-1
-0.054165125,0.91428474,1
-1.0724684,-0.72028556,-1
-0.24298545,-1.0426515,1
-0.32448585,-0.28317976,-1
0.24774928,-0.25565619,-1
-0.17221056,-0.84939971,1
-0.41726341,-0.39327101,-1
-0.34783792,-0.57380853,-1
-0.8518338,-0.72266417,-1
-0.72524439,-0.37370735,-1
0.34532731,-0.022271792,-1
0.74242107,0.74085732,-1
-0.13712343,-0.3472558,-1
0.10591518,0.6337877,1
0.33240671,-0.56552847,1
-0.41754141,0.94856269,1
-0.40488945,-0.61346877,-1
-0.79715796,0.90701039,1
0.87592113,0.36021089,-1
0.54354035,-0.18109142,1
0.075379749,-0.51108329,-1
0.56404879,0.77190965,-1
0.81699117,0.52558687,-1
-0.37661111,0.10599395,1
0.43602851,0.15045963,-1
0.39691855,-0.54893287,1
-0.27417659,0.60223846,1
-0.98918073,0.15764882,1
-0.51644146,-0.82457351,-1
0.98064342,0.54613841,-1
0.77755709,-0.89346511,1
-0.25936394,-0.64448037,-1
-0.23771804,-0.90677112,-1
-0.60395095,0.088173896,1
-0.28011575,-0.015129025,-1
-0.20373733,0.79798618,1
-0.16372581,0.43600528,1
0.74444529,0.41089362,-1
-0.33226757,-0.45875081,-1
-0.027664943,-0.36080053,-1
0.70696684,0.75427653,-1
-0.82301562,-0.30287426,1
-0.98538078,-0.38441488,1
-0.49099732,0.70280304,1
-0.52247192,0.30000586,1
-0.56967959,0.10446241,1
-0.32370497,0.72171478,1
0.91968888,-0.32574194,1
0.81817666,0.34900834,-1
-0.71264726,-0.49117684,-1
0.53684649,1.0477039,-1
0.048856574,0.12522709,-1
0.40044649,-0.13359043,-1
0.72957688,-0.3659422,1
-0.84640286,0.87034709,1
0.8307431,0.58471902,-1
0.44642585,0.28335762,-1
0.63503752,0.85261243,-1
0.13470715,0.84030406,1
-0.58076298,-0.014677565,1
-0.42655272,0.49157607,1
-0.030916589,1.0815951,1
0.48724109,-0.75002965,1
-0.50642751,-0.91039293,-1
0.24941012,0.38309361,-1
-0.44334283,-0.76390321,-1
-0.1045416,-0.88349573,1
-0.28387756,-0.57173283,-1
1.0121137,0.3718762,1
0.061823198,-0.60798489,1
0.087139506,0.36089253,-1
0.87154983,0.41356362,-1
-0.42224414,0.52139273,1
-0.52995701,0.69943942,1
0.59019103,0.44697246,-1
0.84047379,-0.85034269,1
0.091856967,-0.23185106,-1
-0.082210059,-0.40215845,-1
0.97316077,0.64157939,-1
0.43572065,0.27636108,-1
0.52452847,-0.543545,1
